rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1426452806578223271,,73,,1426452806,577942129,'',,,3.08917832375,-0.256189018488,-0.975207388401,,0.0,0.0,0.0,1.0
1426452806628724636,,74,,1426452806,628366698,'',,,3.1042675972,-0.252821266651,-0.961154997349,,0.0,0.0,0.0,1.0
1426452806683096172,,75,,1426452806,682852509,'',,,3.11254310608,-0.241669178009,-0.975304424763,,0.0,0.0,0.0,1.0
1426452806739683002,,76,,1426452806,734810579,'',,,3.11916780472,-0.235346034169,-1.05268847942,,0.0,0.0,0.0,1.0
1426452807428012864,,77,,1426452807,427669037,'',,,0.77403229475,-0.0132469506934,-0.233728557825,,0.0,0.0,0.0,1.0
1426452807477506834,,78,,1426452807,477274625,'',,,0.865954697132,-0.00406855344772,-0.132483869791,,0.0,0.0,0.0,1.0
1426452807530232094,,79,,1426452807,529952065,'',,,1.09568119049,0.0215680431575,0.0521781630814,,0.0,0.0,0.0,1.0
1426452807588986437,,80,,1426452807,588787622,'',,,1.21604454517,0.0320001654327,0.137485817075,,0.0,0.0,0.0,1.0
1426452807639842391,,81,,1426452807,639515196,'',,,1.43621313572,0.0531813018024,0.267991662025,,0.0,0.0,0.0,1.0
1426452807685331536,,82,,1426452807,684732261,'',,,1.65349769592,0.0723554268479,0.365446954966,,0.0,0.0,0.0,1.0
1426452807733152363,,83,,1426452807,732444596,'',,,1.75272285938,0.0794137641788,0.398949205875,,0.0,0.0,0.0,1.0
1426452807781990560,,84,,1426452807,781693629,'',,,1.86079895496,0.0881943926215,0.423131912947,,0.0,0.0,0.0,1.0
1426452807829365677,,85,,1426452807,829146707,'',,,2.06641316414,0.107837371528,0.440405070782,,0.0,0.0,0.0,1.0
1426452807880370337,,86,,1426452807,880130343,'',,,2.16792702675,0.113629363477,0.423898667097,,0.0,0.0,0.0,1.0
1426452807927277869,,87,,1426452807,926987170,'',,,2.3784763813,0.126585528255,0.360675752163,,0.0,0.0,0.0,1.0
1426452807975902362,,88,,1426452807,975617910,'',,,2.46630978584,0.119970038533,0.308568418026,,0.0,0.0,0.0,1.0
1426452808021665327,,89,,1426452808,21435532,'',,,2.65283989906,0.142787829041,0.19067941606,,0.0,0.0,0.0,1.0
1426452808070312400,,90,,1426452808,69818345,'',,,2.75249123573,0.131644949317,0.104564420879,,0.0,0.0,0.0,1.0
1426452808118469094,,91,,1426452808,118179292,'',,,2.8356347084,0.151769310236,0.0319365188479,,0.0,0.0,0.0,1.0
1426452808167712028,,92,,1426452808,167378762,'',,,2.99019145966,0.15699903667,-0.166742414236,,0.0,0.0,0.0,1.0
1426452808217142704,,93,,1426452808,216958208,'',,,3.07883501053,0.142091989517,-0.30916967988,,0.0,0.0,0.0,1.0
1426452808264172721,,94,,1426452808,263919337,'',,,3.16705179214,0.173288881779,-0.506309270859,,0.0,0.0,0.0,1.0
1426452808313807545,,95,,1426452808,313537954,'',,,3.23853087425,0.16617500782,-0.646978676319,,0.0,0.0,0.0,1.0
1426452808361495025,,96,,1426452808,361201650,'',,,3.37100863457,0.166711196303,-0.930055916309,,0.0,0.0,0.0,1.0
1426452808417101904,,97,,1426452808,416869054,'',,,3.44048166275,0.170786425471,-1.04462063313,,0.0,0.0,0.0,1.0
1426452808466712528,,98,,1426452808,466314954,'',,,3.43797945976,0.167526692152,-1.03162372112,,0.0,0.0,0.0,1.0
1426452808623946907,,99,,1426452808,623684710,'',,,3.40628433228,0.189890474081,-0.986494600773,,0.0,0.0,0.0,1.0
1426452808677756660,,100,,1426452808,677576413,'',,,3.40604352951,0.182049930096,-1.00732469559,,0.0,0.0,0.0,1.0
1426452808726452245,,101,,1426452808,726204217,'',,,3.36984443665,0.181985780597,-1.05058062077,,0.0,0.0,0.0,1.0
1426452809687036388,,102,,1426452809,686800170,'',,,0.795494437218,-0.011348660104,-0.208984404802,,0.0,0.0,0.0,1.0
1426452809739581239,,103,,1426452809,738129356,'',,,0.880040943623,-0.0121080772951,-0.109168455005,,0.0,0.0,0.0,1.0
1426452809786216483,,104,,1426452809,785956764,'',,,0.984999358654,-0.0111691728234,-0.00930192228407,,0.0,0.0,0.0,1.0
1426452809838170204,,105,,1426452809,837842982,'',,,1.19863581657,-0.0093810595572,0.153085529804,,0.0,0.0,0.0,1.0
1426452809885752100,,106,,1426452809,885452204,'',,,1.28622627258,-0.017350608483,0.228830069304,,0.0,0.0,0.0,1.0
1426452809934978410,,107,,1426452809,934618424,'',,,1.47630918026,-0.0259374752641,0.341456502676,,0.0,0.0,0.0,1.0
1426452809984772350,,108,,1426452809,984542478,'',,,1.58817303181,-0.0303277764469,0.374717891216,,0.0,0.0,0.0,1.0
1426452810035508476,,109,,1426452810,35252125,'',,,1.76420259476,-0.0298611521721,0.440674513578,,0.0,0.0,0.0,1.0
1426452810086939743,,110,,1426452810,86511303,'',,,1.85297727585,-0.0297023616731,0.450964331627,,0.0,0.0,0.0,1.0
1426452810135078555,,111,,1426452810,134729747,'',,,2.0423951149,-0.0300345998257,0.437495619059,,0.0,0.0,0.0,1.0
1426452810187630706,,112,,1426452810,187379521,'',,,2.13120412827,-0.03467541188,0.408008724451,,0.0,0.0,0.0,1.0
1426452810235679493,,113,,1426452810,235369694,'',,,2.30570363998,-0.0368225611746,0.329225093126,,0.0,0.0,0.0,1.0
1426452810285172097,,114,,1426452810,284882393,'',,,2.45409250259,-0.0620237328112,0.213998019695,,0.0,0.0,0.0,1.0
1426452810338221181,,115,,1426452810,337775449,'',,,2.548640728,-0.0453562736511,0.11594402045,,0.0,0.0,0.0,1.0
1426452810388583313,,116,,1426452810,388298771,'',,,2.62629461288,-0.0477469414473,0.0300849135965,,0.0,0.0,0.0,1.0
1426452810441772473,,117,,1426452810,439125578,'',,,2.75872731209,-0.0538771264255,-0.173381000757,,0.0,0.0,0.0,1.0
1426452810489263952,,118,,1426452810,489008386,'',,,2.83990645409,-0.0527455955744,-0.293551832438,,0.0,0.0,0.0,1.0
1426452810541383584,,119,,1426452810,539502340,'',,,2.95652198792,-0.0591616667807,-0.537246346474,,0.0,0.0,0.0,1.0
1426452810589053841,,120,,1426452810,588821517,'',,,3.07188987732,-0.019570466131,-0.801190853119,,0.0,0.0,0.0,1.0
1426452810634637458,,121,,1426452810,634356028,'',,,3.10259222984,-0.0572655647993,-0.93872410059,,0.0,0.0,0.0,1.0
1426452810734557004,,122,,1426452810,734244252,'',,,3.18390369415,-0.0624463446438,-1.03169381618,,0.0,0.0,0.0,1.0
1426452810784685708,,123,,1426452810,784433452,'',,,3.17294120789,-0.0535086877644,-0.998594522476,,0.0,0.0,0.0,1.0
1426452810832586985,,124,,1426452810,832295231,'',,,3.16960978508,-0.0494915880263,-0.989322960377,,0.0,0.0,0.0,1.0
1426452810885212519,,125,,1426452810,884988760,'',,,3.16334462166,-0.075145483017,-0.977469980717,,0.0,0.0,0.0,1.0
1426452810936157579,,126,,1426452810,935911727,'',,,3.12987709045,-0.0621284320951,-0.988340497017,,0.0,0.0,0.0,1.0
1426452810987174287,,127,,1426452810,986881071,'',,,3.14639806747,-0.065286628902,-1.00874590874,,0.0,0.0,0.0,1.0
1426452812904135900,,128,,1426452812,903833260,'',,,0.637442171574,-0.00275726732798,-0.23141823709,,0.0,0.0,0.0,1.0
1426452812952094457,,129,,1426452812,951789364,'',,,0.697505474091,0.000780640053563,-0.164888218045,,0.0,0.0,0.0,1.0
1426452812997170377,,130,,1426452812,996823032,'',,,0.91155230999,0.00979130622,0.042947050184,,0.0,0.0,0.0,1.0
1426452813048834290,,131,,1426452813,48558245,'',,,1.01971793175,0.0103488834575,0.138408750296,,0.0,0.0,0.0,1.0
1426452813098578764,,132,,1426452813,98319753,'',,,1.24368655682,0.0166977401823,0.293310403824,,0.0,0.0,0.0,1.0
1426452813147800568,,133,,1426452813,147462358,'',,,1.40627706051,0.0261124242097,0.328435629606,,0.0,0.0,0.0,1.0
1426452813199285131,,134,,1426452813,198954612,'',,,1.53045368195,0.0249276868999,0.481293559074,,0.0,0.0,0.0,1.0
1426452813249940434,,135,,1426452813,249727776,'',,,1.63322925568,0.027449965477,0.524566531181,,0.0,0.0,0.0,1.0
1426452813302825192,,136,,1426452813,302597309,'',,,1.82607424259,0.0335248671472,0.565787374973,,0.0,0.0,0.0,1.0
1426452813352185755,,137,,1426452813,351944684,'',,,1.93039262295,0.0297294836491,0.56883430481,,0.0,0.0,0.0,1.0
1426452813403204146,,138,,1426452813,402982503,'',,,2.11477446556,0.0250638779253,0.540554583073,,0.0,0.0,0.0,1.0
1426452813451417633,,139,,1426452813,451166094,'',,,2.20721697807,0.0212152581662,0.515844106674,,0.0,0.0,0.0,1.0
1426452813501512673,,140,,1426452813,501107329,'',,,2.39054226875,0.0209983047098,0.418478697538,,0.0,0.0,0.0,1.0
1426452813550320484,,141,,1426452813,550050118,'',,,2.47839736938,0.0156115051359,0.361502856016,,0.0,0.0,0.0,1.0
1426452813600497207,,142,,1426452813,600250163,'',,,2.64630675316,0.0170946717262,0.206721395254,,0.0,0.0,0.0,1.0
1426452813649852460,,143,,1426452813,649595407,'',,,2.7147834301,0.0346590392292,0.103518396616,,0.0,0.0,0.0,1.0
1426452813700107917,,144,,1426452813,699876166,'',,,2.87120461464,0.0221152100712,-0.102369450033,,0.0,0.0,0.0,1.0
1426452813748000074,,145,,1426452813,747764115,'',,,2.94514417648,0.0205303579569,-0.217726409435,,0.0,0.0,0.0,1.0
1426452813798298635,,146,,1426452813,798009930,'',,,3.05204224586,0.0177201051265,-0.462662965059,,0.0,0.0,0.0,1.0
1426452813848084947,,147,,1426452813,847866923,'',,,3.11976599693,0.0171217676252,-0.603277504444,,0.0,0.0,0.0,1.0
1426452813897696475,,148,,1426452813,897521391,'',,,3.20776605606,0.0117592029274,-0.890823125839,,0.0,0.0,0.0,1.0
1426452813949247002,,149,,1426452813,948958750,'',,,3.26348423958,0.0118271345273,-1.02067708969,,0.0,0.0,0.0,1.0
1426452813998825610,,150,,1426452813,998658833,'',,,3.3883960247,-0.0537768043578,-1.05453276634,,0.0,0.0,0.0,1.0
1426452814051556604,,151,,1426452814,51339573,'',,,3.27164649963,0.0217938553542,-1.0065625906,,0.0,0.0,0.0,1.0
1426452814098495232,,152,,1426452814,98239277,'',,,3.25806856155,0.0378286615014,-0.959636986256,,0.0,0.0,0.0,1.0
1426452814149726035,,153,,1426452814,149407008,'',,,3.28543043137,0.045413903892,-0.974280893803,,0.0,0.0,0.0,1.0
1426452814196365089,,154,,1426452814,196119958,'',,,3.24986839294,0.0493028871715,-1.01199626923,,0.0,0.0,0.0,1.0
1426452814248171012,,155,,1426452814,247877158,'',,,3.25204014778,0.050294212997,-1.038849473,,0.0,0.0,0.0,1.0
1426452816462411177,,156,,1426452816,462125647,'',,,0.697906851768,-0.0636505410075,-0.101476870477,,0.0,0.0,0.0,1.0
1426452816515668941,,157,,1426452816,513939580,'',,,0.799745440483,-0.0549678206444,-0.00172811013181,,0.0,0.0,0.0,1.0
1426452816562889268,,158,,1426452816,562606844,'',,,0.883451282978,-0.0651736557484,0.105776794255,,0.0,0.0,0.0,1.0
1426452816615475531,,159,,1426452816,615256952,'',,,1.05483734608,-0.0781439840794,0.288733869791,,0.0,0.0,0.0,1.0
1426452816664537106,,160,,1426452816,664094227,'',,,1.22550845146,-0.0857198759913,0.42808136344,,0.0,0.0,0.0,1.0
1426452816715724851,,161,,1426452816,715577639,'',,,1.30870079994,-0.0919533967972,0.489376485348,,0.0,0.0,0.0,1.0
1426452816765414036,,162,,1426452816,765161929,'',,,1.47349202633,-0.103419817984,0.574480593204,,0.0,0.0,0.0,1.0
1426452816824154814,,163,,1426452816,822447190,'',,,1.55245780945,-0.109791107476,0.606676340103,,0.0,0.0,0.0,1.0
1426452816874539696,,164,,1426452816,873460516,'',,,1.71046090126,-0.1152998209,0.635489165783,,0.0,0.0,0.0,1.0
1426452816925438781,,165,,1426452816,925226951,'',,,1.80011975765,-0.118383668363,0.623371124268,,0.0,0.0,0.0,1.0
1426452816974387068,,166,,1426452816,974161858,'',,,1.96377670765,-0.123267903924,0.577898323536,,0.0,0.0,0.0,1.0
1426452817027345905,,167,,1426452817,27121129,'',,,2.15094852448,-0.123001761734,0.442844003439,,0.0,0.0,0.0,1.0
1426452817077047057,,168,,1426452817,76732122,'',,,2.18532657623,-0.135087743402,0.420220077038,,0.0,0.0,0.0,1.0
1426452817129372239,,169,,1426452817,129116771,'',,,2.25367236137,-0.138170659542,0.350050091743,,0.0,0.0,0.0,1.0
1426452817181314711,,170,,1426452817,179297584,'',,,2.45343565941,-0.0775717422366,0.118903391063,,0.0,0.0,0.0,1.0
1426452817229767738,,171,,1426452817,229514457,'',,,2.44891095161,-0.147570684552,0.0641965195537,,0.0,0.0,0.0,1.0
1426452817276956999,,172,,1426452817,276587592,'',,,2.56361436844,-0.158223032951,-0.170381709933,,0.0,0.0,0.0,1.0
1426452817326943211,,173,,1426452817,326656261,'',,,2.62795042992,-0.163040995598,-0.299161821604,,0.0,0.0,0.0,1.0
1426452817374470011,,174,,1426452817,373969788,'',,,2.70875501633,-0.165846526623,-0.551553666592,,0.0,0.0,0.0,1.0
1426452817424806385,,175,,1426452817,424508494,'',,,2.77082967758,-0.167694300413,-0.700672447681,,0.0,0.0,0.0,1.0
1426452817471792671,,176,,1426452817,471445704,'',,,2.847645998,-0.171775430441,-0.983648061752,,0.0,0.0,0.0,1.0
1426452817569663911,,177,,1426452817,569431516,'',,,2.96749401093,-0.204829797149,-1.04085075855,,0.0,0.0,0.0,1.0
1426452817621498696,,178,,1426452817,621196018,'',,,2.87650966644,-0.130644589663,-0.998126327991,,0.0,0.0,0.0,1.0
1426452817671478499,,179,,1426452817,671224386,'',,,2.86891341209,-0.106899507344,-0.977893233299,,0.0,0.0,0.0,1.0
1426452817724605221,,180,,1426452817,724283377,'',,,2.88698911667,-0.0924908518791,-0.982853114605,,0.0,0.0,0.0,1.0
1426452817773930895,,181,,1426452817,773530529,'',,,2.87141346931,-0.0763818025589,-1.03048408031,,0.0,0.0,0.0,1.0
1426452817828943886,,182,,1426452817,828646178,'',,,2.87549448013,-0.0706176832318,-1.05827605724,,0.0,0.0,0.0,1.0
1426452820212701272,,183,,1426452820,212320461,'',,,0.626693248749,-0.0289583653212,-0.23945723474,,0.0,0.0,0.0,1.0
1426452820265553020,,184,,1426452820,265295697,'',,,0.640845179558,-0.0633287280798,-0.164096072316,,0.0,0.0,0.0,1.0
1426452820315727951,,185,,1426452820,315215119,'',,,0.812504172325,-0.0710162296891,0.0456995405257,,0.0,0.0,0.0,1.0
1426452820365991028,,186,,1426452820,365662513,'',,,0.886183679104,-0.0665793046355,0.151701897383,,0.0,0.0,0.0,1.0
1426452820417176422,,187,,1426452820,416835148,'',,,1.05480480194,-0.0709160193801,0.324072062969,,0.0,0.0,0.0,1.0
1426452820466076933,,188,,1426452820,465763286,'',,,1.13945698738,-0.0749255418777,0.401508450508,,0.0,0.0,0.0,1.0
1426452820517613780,,189,,1426452820,517459145,'',,,1.29365682602,-0.0880806148052,0.507660746574,,0.0,0.0,0.0,1.0
1426452820565943257,,190,,1426452820,565656803,'',,,1.3825327158,-0.0933131799102,0.555817484856,,0.0,0.0,0.0,1.0
1426452820668414715,,191,,1426452820,668028321,'',,,1.64462518692,-0.116222031415,0.652173221111,,0.0,0.0,0.0,1.0
1426452820720741677,,192,,1426452820,720408364,'',,,1.80128753185,-0.112794369459,0.648487627506,,0.0,0.0,0.0,1.0
1426452820768633675,,193,,1426452820,768408539,'',,,1.86773133278,-0.127070322633,0.638692975044,,0.0,0.0,0.0,1.0
1426452820824193066,,194,,1426452820,823742494,'',,,2.02615737915,-0.138883143663,0.565721809864,,0.0,0.0,0.0,1.0
1426452820872049770,,195,,1426452820,871777606,'',,,2.17215895653,-0.150692924857,0.446058183908,,0.0,0.0,0.0,1.0
1426452820925167552,,196,,1426452820,924872945,'',,,2.25129175186,-0.156840369105,0.370145082474,,0.0,0.0,0.0,1.0
1426452820973325468,,197,,1426452820,972994392,'',,,2.38820743561,-0.168315157294,0.194414392114,,0.0,0.0,0.0,1.0
1426452821027428781,,198,,1426452821,27169890,'',,,2.44636249542,-0.16353829205,0.0808074250817,,0.0,0.0,0.0,1.0
1426452821075498459,,199,,1426452821,75116007,'',,,2.57736182213,-0.178613290191,-0.164885133505,,0.0,0.0,0.0,1.0
1426452821128073239,,200,,1426452821,127822182,'',,,2.62956428528,-0.19214387238,-0.289191305637,,0.0,0.0,0.0,1.0
1426452821177792606,,201,,1426452821,177417140,'',,,2.74085497856,-0.201311126351,-0.554183602333,,0.0,0.0,0.0,1.0
1426452821231199733,,202,,1426452821,230895865,'',,,2.78223824501,-0.204679742455,-0.699580550194,,0.0,0.0,0.0,1.0
1426452821288286047,,203,,1426452821,287878937,'',,,2.96275687218,-0.25529551506,-1.00776529312,,0.0,0.0,0.0,1.0
1426452821336243588,,204,,1426452821,335589255,'',,,2.90343022346,-0.20263569057,-1.04510378838,,0.0,0.0,0.0,1.0
1426452821388684473,,205,,1426452821,385591679,'',,,2.90564370155,-0.195086836815,-1.00086688995,,0.0,0.0,0.0,1.0
1426452821433482616,,206,,1426452821,433128705,'',,,2.89692211151,-0.164790019393,-0.95986276865,,0.0,0.0,0.0,1.0
1426452821484211163,,207,,1426452821,483817402,'',,,2.89733171463,-0.157542705536,-0.921722173691,,0.0,0.0,0.0,1.0
1426452821533008690,,208,,1426452821,532832023,'',,,2.9039273262,-0.172366827726,-0.921372592449,,0.0,0.0,0.0,1.0
1426452821581335151,,209,,1426452821,581098518,'',,,2.89420676231,-0.172838360071,-0.955788195133,,0.0,0.0,0.0,1.0
1426452821631716637,,210,,1426452821,631436406,'',,,2.87049651146,-0.169002056122,-0.971940100193,,0.0,0.0,0.0,1.0
1426452821680220763,,211,,1426452821,679926051,'',,,2.86511278152,-0.168557360768,-1.04899311066,,0.0,0.0,0.0,1.0
